experiment_id,run_id,gen,n_pop,n_feasible,f1_min_feas,f2_min_feas,f1_mean_feas,f2_mean_feas,fitness_yolo_max_feas,fitness_yolo_mean_feas,ref_point_hv,hypervolume_feas
NSGA2_sbx_polynomial_run01,1,0,30,18,-0.9090534448623657,2.0,-0.6033888161182404,54.333333333333336,0.9090534448623657,0.6033888161182404,"[0.0, 80]",62.670678198337555
NSGA2_sbx_polynomial_run01,1,1,30,30,-0.9357980489730835,2.0,-0.6410932600498199,48.56666666666667,0.9357980489730835,0.6410932600498199,"[0.0, 80]",63.42969614267349
NSGA2_sbx_polynomial_run01,1,2,30,30,-0.9357980489730835,2.0,-0.6675527691841125,38.7,0.9357980489730835,0.6675527691841125,"[0.0, 80]",63.469986379146576
NSGA2_sbx_polynomial_run01,1,3,30,30,-0.9357980489730835,2.0,-0.6869276742140452,30.033333333333335,0.9357980489730835,0.6869276742140452,"[0.0, 80]",63.499205470085144
NSGA2_sbx_polynomial_run01,1,4,30,30,-0.9357980489730835,2.0,-0.6812625577052435,21.9,0.9357980489730835,0.6812625577052435,"[0.0, 80]",66.42825895547867
NSGA2_sbx_polynomial_run01,1,5,30,30,-0.9357980489730835,2.0,-0.703849983215332,20.933333333333334,0.9357980489730835,0.703849983215332,"[0.0, 80]",66.45821899175644
NSGA2_sbx_polynomial_run01,1,6,30,30,-0.9357980489730835,2.0,-0.7082312285900116,16.7,0.9357980489730835,0.7082312285900116,"[0.0, 80]",70.05296820402145
NSGA2_sbx_polynomial_run01,1,7,30,30,-0.9357980489730835,2.0,-0.6869025220473607,16.033333333333335,0.9357980489730835,0.6869025220473607,"[0.0, 80]",70.05296820402145
NSGA2_sbx_polynomial_run01,1,8,30,30,-0.9357980489730835,2.0,-0.696867573261261,16.5,0.9357980489730835,0.696867573261261,"[0.0, 80]",70.05296820402145
NSGA2_sbx_polynomial_run01,1,9,30,30,-0.9357980489730835,2.0,-0.6975907971461613,15.233333333333333,0.9357980489730835,0.6975907971461613,"[0.0, 80]",70.05296820402145
NSGA2_sbx_polynomial_run01,1,10,30,30,-0.9357980489730835,2.0,-0.7128272404273351,15.3,0.9357980489730835,0.7128272404273351,"[0.0, 80]",70.95809268951416
NSGA2_sbx_polynomial_run01,1,11,30,30,-0.9357980489730835,2.0,-0.7050067534049352,14.533333333333333,0.9357980489730835,0.7050067534049352,"[0.0, 80]",71.09892928600311
NSGA2_sbx_polynomial_run01,1,12,30,30,-0.9371874332427979,2.0,-0.6785126338402431,13.7,0.9371874332427979,0.6785126338402431,"[0.0, 80]",71.32333236932755
NSGA2_sbx_polynomial_run01,1,13,30,30,-0.9371874332427979,2.0,-0.700078547000885,13.733333333333333,0.9371874332427979,0.700078547000885,"[0.0, 80]",71.32333236932755
NSGA2_sbx_polynomial_run01,1,14,30,30,-0.9371874332427979,2.0,-0.7265732417503993,14.4,0.9371874332427979,0.7265732417503993,"[0.0, 80]",71.32333236932755
NSGA2_sbx_polynomial_run01,1,15,30,30,-0.9371874332427979,2.0,-0.7340420951445897,14.4,0.9371874332427979,0.7340420951445897,"[0.0, 80]",71.32333236932755
NSGA2_sbx_polynomial_run01,1,16,30,30,-0.9371874332427979,2.0,-0.7454831659793854,14.4,0.9371874332427979,0.7454831659793854,"[0.0, 80]",71.38082721829414
NSGA2_sbx_polynomial_run01,1,17,30,30,-0.9371874332427979,2.0,-0.7662658870220185,15.033333333333333,0.9371874332427979,0.7662658870220185,"[0.0, 80]",71.38082721829414
NSGA2_sbx_polynomial_run01,1,18,30,30,-0.9371874332427979,2.0,-0.7710906316836675,15.466666666666667,0.9371874332427979,0.7710906316836675,"[0.0, 80]",71.42358925938606
NSGA2_sbx_polynomial_run01,1,19,30,30,-0.9371874332427979,2.0,-0.7745363771915436,15.466666666666667,0.9371874332427979,0.7745363771915436,"[0.0, 80]",71.42358925938606
NSGA2_sbx_polynomial_run01,1,20,30,30,-0.9371874332427979,2.0,-0.7770116070906321,16.166666666666668,0.9371874332427979,0.7770116070906321,"[0.0, 80]",71.42358925938606
NSGA2_sbx_polynomial_run01,1,21,30,30,-0.9433363080024719,2.0,-0.785709023475647,16.9,0.9433363080024719,0.785709023475647,"[0.0, 80]",71.82435005903244
NSGA2_sbx_polynomial_run01,1,22,30,30,-0.9433763027191162,2.0,-0.7825262169043223,14.833333333333334,0.9433763027191162,0.7825262169043223,"[0.0, 80]",71.86658823490143
NSGA2_sbx_polynomial_run01,1,23,30,30,-0.9433763027191162,2.0,-0.7851650208234787,14.766666666666667,0.9433763027191162,0.7851650208234787,"[0.0, 80]",71.86779782176018
NSGA2_sbx_polynomial_run01,1,24,30,30,-0.9433763027191162,2.0,-0.795515313744545,14.7,0.9433763027191162,0.795515313744545,"[0.0, 80]",71.97159740328789
NSGA2_sbx_polynomial_run01,1,25,30,30,-0.9433763027191162,2.0,-0.7964432070652644,14.7,0.9433763027191162,0.7964432070652644,"[0.0, 80]",71.97159740328789
NSGA2_sbx_polynomial_run01,1,26,30,30,-0.9481349587440491,2.0,-0.8010463575522105,14.666666666666666,0.9481349587440491,0.8010463575522105,"[0.0, 80]",72.26853004097939
NSGA2_sbx_polynomial_run01,1,27,30,30,-0.9481349587440491,2.0,-0.8114359905322392,14.9,0.9481349587440491,0.8114359905322392,"[0.0, 80]",72.46236997842789
NSGA2_sbx_polynomial_run01,1,28,30,30,-0.9481349587440491,2.0,-0.7968277007341384,12.266666666666667,0.9481349587440491,0.7968277007341384,"[0.0, 80]",72.46236997842789
