experiment_id,run_id,gen,n_pop,n_feasible,f1_min_feas,f2_min_feas,f1_mean_feas,f2_mean_feas,fitness_yolo_max_feas,fitness_yolo_mean_feas,ref_point_hv,hypervolume_feas
pizza_sbx_polynomial_run01,1,0,30,23,-0.810135006904602,18.0,-0.4412520035453465,54.91304347826087,0.810135006904602,0.4412520035453465,"[0.0, 80]",40.622586369514465
pizza_sbx_polynomial_run01,1,1,30,30,-0.8131903409957886,18.0,-0.5316946645577748,43.233333333333334,0.8131903409957886,0.5316946645577748,"[0.0, 80]",48.067698657512665
pizza_sbx_polynomial_run01,1,2,30,30,-0.8131903409957886,16.0,-0.6149351706107458,37.93333333333333,0.8131903409957886,0.6149351706107458,"[0.0, 80]",49.39575266838074
pizza_sbx_polynomial_run01,1,3,30,30,-0.821578860282898,16.0,-0.6404315322637558,35.4,0.821578860282898,0.6404315322637558,"[0.0, 80]",49.4544723033905
pizza_sbx_polynomial_run01,1,4,30,30,-0.8620233535766602,16.0,-0.648258650302887,32.733333333333334,0.8620233535766602,0.648258650302887,"[0.0, 80]",54.18556886911392
pizza_sbx_polynomial_run01,1,5,30,30,-0.8620233535766602,13.0,-0.6530449032783509,30.6,0.8620233535766602,0.6530449032783509,"[0.0, 80]",54.99324110150337
pizza_sbx_polynomial_run01,1,6,30,30,-0.8620233535766602,12.0,-0.6494438012441,25.833333333333332,0.8620233535766602,0.6494438012441,"[0.0, 80]",56.132206201553345
pizza_sbx_polynomial_run01,1,7,30,30,-0.8620233535766602,12.0,-0.6213222394386927,24.066666666666666,0.8620233535766602,0.6213222394386927,"[0.0, 80]",58.015379548072815
pizza_sbx_polynomial_run01,1,8,30,30,-0.8620233535766602,10.0,-0.5729407250881196,17.466666666666665,0.8620233535766602,0.5729407250881196,"[0.0, 80]",58.65390545129776
pizza_sbx_polynomial_run01,1,9,30,30,-0.8620233535766602,10.0,-0.6531130919853846,18.066666666666666,0.8620233535766602,0.6531130919853846,"[0.0, 80]",58.65390545129776
pizza_sbx_polynomial_run01,1,10,30,30,-0.8620233535766602,10.0,-0.6919354210297267,16.4,0.8620233535766602,0.6919354210297267,"[0.0, 80]",58.65390545129776
pizza_sbx_polynomial_run01,1,11,30,30,-0.8620233535766602,10.0,-0.6802581250667572,15.866666666666667,0.8620233535766602,0.6802581250667572,"[0.0, 80]",58.96954834461212
pizza_sbx_polynomial_run01,1,12,30,30,-0.9084399342536926,6.0,-0.674212658405304,14.933333333333334,0.9084399342536926,0.674212658405304,"[0.0, 80]",64.74165284633636
pizza_sbx_polynomial_run01,1,13,30,30,-0.9150078296661377,6.0,-0.7046668857336045,14.3,0.9150078296661377,0.7046668857336045,"[0.0, 80]",65.26555317640305
pizza_sbx_polynomial_run01,1,14,30,30,-0.9150078296661377,6.0,-0.6765689710776012,13.1,0.9150078296661377,0.6765689710776012,"[0.0, 80]",65.28983694314957
pizza_sbx_polynomial_run01,1,15,30,30,-0.9150078296661377,6.0,-0.6930760125319163,12.6,0.9150078296661377,0.6930760125319163,"[0.0, 80]",66.17379558086395
pizza_sbx_polynomial_run01,1,16,30,30,-0.9150078296661377,6.0,-0.7017579356829325,12.1,0.9150078296661377,0.7017579356829325,"[0.0, 80]",66.17379558086395
pizza_sbx_polynomial_run01,1,17,30,30,-0.9150078296661377,6.0,-0.7187858780225118,11.833333333333334,0.9150078296661377,0.7187858780225118,"[0.0, 80]",66.24679720401764
pizza_sbx_polynomial_run01,1,18,30,30,-0.9150078296661377,6.0,-0.7432976981004079,12.366666666666667,0.9150078296661377,0.7432976981004079,"[0.0, 80]",66.24679720401764
pizza_sbx_polynomial_run01,1,19,30,30,-0.9150078296661377,6.0,-0.7804898937543233,12.3,0.9150078296661377,0.7804898937543233,"[0.0, 80]",66.24679720401764
pizza_sbx_polynomial_run01,1,20,30,30,-0.9150078296661377,6.0,-0.7809662739435832,12.1,0.9150078296661377,0.7809662739435832,"[0.0, 80]",66.24679720401764
pizza_sbx_polynomial_run01,1,21,30,30,-0.9150078296661377,6.0,-0.7801783382892609,10.633333333333333,0.9150078296661377,0.7801783382892609,"[0.0, 80]",66.24679720401764
pizza_sbx_polynomial_run01,1,22,30,30,-0.9150078296661377,6.0,-0.7919640719890595,10.633333333333333,0.9150078296661377,0.7919640719890595,"[0.0, 80]",66.65620803833008
pizza_sbx_polynomial_run01,1,23,30,30,-0.9150078296661377,6.0,-0.7931774973869323,10.266666666666667,0.9150078296661377,0.7931774973869323,"[0.0, 80]",66.66701984405518
pizza_sbx_polynomial_run01,1,24,30,30,-0.9224365949630737,6.0,-0.7827189644177754,9.4,0.9224365949630737,0.7827189644177754,"[0.0, 80]",67.17217588424683
pizza_sbx_polynomial_run01,1,25,30,30,-0.9224365949630737,6.0,-0.7767823974291483,9.2,0.9224365949630737,0.7767823974291483,"[0.0, 80]",67.17217588424683
pizza_sbx_polynomial_run01,1,26,30,30,-0.9224365949630737,6.0,-0.8003738065560658,9.533333333333333,0.9224365949630737,0.8003738065560658,"[0.0, 80]",67.17217588424683
pizza_sbx_polynomial_run01,1,27,30,30,-0.9224365949630737,6.0,-0.8262503445148468,10.066666666666666,0.9224365949630737,0.8262503445148468,"[0.0, 80]",67.17217588424683
pizza_sbx_polynomial_run01,1,28,30,30,-0.9224365949630737,6.0,-0.8310217479864757,9.933333333333334,0.9224365949630737,0.8310217479864757,"[0.0, 80]",67.23888635635376
