experiment_id,run_id,gen,n_pop,n_feasible,f1_min_feas,f2_min_feas,f1_mean_feas,f2_mean_feas,fitness_yolo_max_feas,fitness_yolo_mean_feas,ref_point_hv,hypervolume_feas
chair_sbx_polynomial_run01,1,0,30,23,-0.9381993412971497,22.0,-0.6778985702473185,61.52173913043478,0.9381993412971497,0.6778985702473185,"[0.0, 80]",52.90001821517944
chair_sbx_polynomial_run01,1,1,30,30,-0.9400752186775208,22.0,-0.7982172061999638,53.666666666666664,0.9400752186775208,0.7982172061999638,"[0.0, 80]",53.851802110672
chair_sbx_polynomial_run01,1,2,30,30,-0.9400752186775208,19.0,-0.8610643287499745,48.4,0.9400752186775208,0.8610643287499745,"[0.0, 80]",56.547159910202026
chair_sbx_polynomial_run01,1,3,30,30,-0.9425472021102905,18.0,-0.8744804680347442,36.4,0.9425472021102905,0.8744804680347442,"[0.0, 80]",57.76735246181488
chair_sbx_polynomial_run01,1,4,30,30,-0.9425472021102905,18.0,-0.8482334534327189,30.933333333333334,0.9425472021102905,0.8482334534327189,"[0.0, 80]",58.218530356884
chair_sbx_polynomial_run01,1,5,30,30,-0.9425472021102905,18.0,-0.8457763175169627,29.033333333333335,0.9425472021102905,0.8457763175169627,"[0.0, 80]",58.218530356884
chair_sbx_polynomial_run01,1,6,30,30,-0.94965660572052,12.0,-0.8604871730009714,22.9,0.94965660572052,0.8604871730009714,"[0.0, 80]",63.49290782213211
chair_sbx_polynomial_run01,1,7,30,30,-0.9601361751556396,12.0,-0.8541172474622727,21.966666666666665,0.9601361751556396,0.8541172474622727,"[0.0, 80]",64.20283681154251
chair_sbx_polynomial_run01,1,8,30,30,-0.9601361751556396,12.0,-0.8667290170987447,21.3,0.9601361751556396,0.8667290170987447,"[0.0, 80]",64.23946368694305
chair_sbx_polynomial_run01,1,9,30,30,-0.9602658748626709,11.0,-0.8239036152760187,19.9,0.9602658748626709,0.8239036152760187,"[0.0, 80]",64.58439072966576
chair_sbx_polynomial_run01,1,10,30,30,-0.9602658748626709,11.0,-0.8503470122814178,19.3,0.9602658748626709,0.8503470122814178,"[0.0, 80]",65.5187575519085
chair_sbx_polynomial_run01,1,11,30,30,-0.9602658748626709,11.0,-0.8365968892971675,18.433333333333334,0.9602658748626709,0.8365968892971675,"[0.0, 80]",65.67432162165642
chair_sbx_polynomial_run01,1,12,30,30,-0.9603749513626099,11.0,-0.7705276876688003,16.3,0.9603749513626099,0.7705276876688003,"[0.0, 80]",65.6809752881527
chair_sbx_polynomial_run01,1,13,30,30,-0.9603749513626099,11.0,-0.8501765261093776,16.333333333333332,0.9603749513626099,0.8501765261093776,"[0.0, 80]",66.01974898576736
chair_sbx_polynomial_run01,1,14,30,30,-0.9607927203178406,11.0,-0.8821776370207469,16.0,0.9607927203178406,0.8821776370207469,"[0.0, 80]",66.15552288293839
chair_sbx_polynomial_run01,1,15,30,30,-0.969028115272522,11.0,-0.8938062210877736,15.066666666666666,0.969028115272522,0.8938062210877736,"[0.0, 80]",66.67596423625946
chair_sbx_polynomial_run01,1,16,30,30,-0.969028115272522,11.0,-0.8963226238886516,14.733333333333333,0.969028115272522,0.8963226238886516,"[0.0, 80]",66.67596423625946
chair_sbx_polynomial_run01,1,17,30,30,-0.969028115272522,11.0,-0.9240697681903839,15.166666666666666,0.969028115272522,0.9240697681903839,"[0.0, 80]",66.67596423625946
chair_sbx_polynomial_run01,1,18,30,30,-0.969028115272522,11.0,-0.9285979866981506,14.9,0.969028115272522,0.9285979866981506,"[0.0, 80]",66.69185835123062
chair_sbx_polynomial_run01,1,19,30,30,-0.969028115272522,11.0,-0.9510052959124248,15.333333333333334,0.969028115272522,0.9510052959124248,"[0.0, 80]",66.70657622814178
chair_sbx_polynomial_run01,1,20,30,30,-0.969028115272522,9.0,-0.9480508387088775,15.233333333333333,0.969028115272522,0.9480508387088775,"[0.0, 80]",68.35013824701309
chair_sbx_polynomial_run01,1,21,30,30,-0.969028115272522,9.0,-0.9402707517147064,15.033333333333333,0.969028115272522,0.9402707517147064,"[0.0, 80]",68.35013824701309
chair_sbx_polynomial_run01,1,22,30,30,-0.969028115272522,9.0,-0.9361250638961792,14.4,0.969028115272522,0.9361250638961792,"[0.0, 80]",68.6013634800911
chair_sbx_polynomial_run01,1,23,30,30,-0.969028115272522,9.0,-0.9227210402488708,13.3,0.969028115272522,0.9227210402488708,"[0.0, 80]",68.6013634800911
chair_sbx_polynomial_run01,1,24,30,30,-0.969028115272522,9.0,-0.9226229945818584,12.5,0.969028115272522,0.9226229945818584,"[0.0, 80]",68.70686835050583
chair_sbx_polynomial_run01,1,25,30,30,-0.9764416217803955,9.0,-0.9414389987786611,12.133333333333333,0.9764416217803955,0.9414389987786611,"[0.0, 80]",69.32735514640808
chair_sbx_polynomial_run01,1,26,30,30,-0.9764416217803955,3.0,-0.9227291574080785,11.233333333333333,0.9764416217803955,0.9227291574080785,"[0.0, 80]",72.27590245008469
chair_sbx_polynomial_run01,1,27,30,30,-0.9764416217803955,3.0,-0.9278529872496922,11.433333333333334,0.9764416217803955,0.9278529872496922,"[0.0, 80]",72.27590245008469
chair_sbx_polynomial_run01,1,28,30,30,-0.9764416217803955,3.0,-0.9081359356641769,11.133333333333333,0.9764416217803955,0.9081359356641769,"[0.0, 80]",72.53271353244781
chair_sbx_polynomial_run01,1,29,30,30,-0.9765387177467346,3.0,-0.905818177262942,9.6,0.9765387177467346,0.905818177262942,"[0.0, 80]",72.53960734605789
