experiment_id,run_id,gen,n_pop,n_feasible,f1_min_feas,f2_min_feas,f1_mean_feas,f2_mean_feas,fitness_yolo_max_feas,fitness_yolo_mean_feas,ref_point_hv,hypervolume_feas
moead_sbx_polynomial_run01,1,0,30,30,-0.9139137864112854,1.0,-0.4958316487932205,40.166666666666664,0.9139137864112854,0.4958316487932205,"[0.0, 80]",62.575642228126526
moead_sbx_polynomial_run01,1,1,30,30,-0.4880986213684082,1.0,-0.0979886816326777,12.1,0.4880986213684082,0.0979886816326777,"[0.0, 80]",32.38212180137634
moead_sbx_polynomial_run01,1,2,30,30,-0.6383599042892456,1.0,-0.07127923013051349,5.3,0.6383599042892456,0.07127923013051349,"[0.0, 80]",49.15371263027191
moead_sbx_polynomial_run01,1,3,30,30,-0.6383599042892456,1.0,-0.1435719649060567,1.8,0.6383599042892456,0.1435719649060567,"[0.0, 80]",49.15371263027191
moead_sbx_polynomial_run01,1,4,30,30,-0.6383599042892456,1.0,-0.14245196490605672,1.7333333333333334,0.6383599042892456,0.14245196490605672,"[0.0, 80]",49.15371263027191
moead_sbx_polynomial_run01,1,5,30,30,-0.6383599042892456,1.0,-0.14245196490605672,1.7333333333333334,0.6383599042892456,0.14245196490605672,"[0.0, 80]",49.15371263027191
moead_sbx_polynomial_run01,1,6,30,30,-0.6383599042892456,1.0,-0.14245196490605672,1.7333333333333334,0.6383599042892456,0.14245196490605672,"[0.0, 80]",49.15371263027191
moead_sbx_polynomial_run01,1,7,30,30,-0.6383599042892456,1.0,-0.14245196490605672,1.7333333333333334,0.6383599042892456,0.14245196490605672,"[0.0, 80]",49.15371263027191
moead_sbx_polynomial_run01,1,8,30,30,-0.6383599042892456,1.0,-0.14245196490605672,1.7333333333333334,0.6383599042892456,0.14245196490605672,"[0.0, 80]",49.15371263027191
moead_sbx_polynomial_run01,1,9,30,30,-0.6383599042892456,1.0,-0.14245196490605672,1.7333333333333334,0.6383599042892456,0.14245196490605672,"[0.0, 80]",49.15371263027191
moead_sbx_polynomial_run01,1,10,30,30,-0.6383599042892456,1.0,-0.14245196490605672,1.7333333333333334,0.6383599042892456,0.14245196490605672,"[0.0, 80]",49.15371263027191
moead_sbx_polynomial_run02,2,0,30,30,-0.911776602268219,4.0,-0.6052404611444473,48.5,0.911776602268219,0.6052404611444473,"[0.0, 80]",63.358491986989975
moead_sbx_polynomial_run02,2,1,30,30,-0.8789948225021362,4.0,-0.05863872578620911,10.166666666666666,0.8789948225021362,0.05863872578620911,"[0.0, 80]",61.41151759028435
moead_sbx_polynomial_run02,2,2,30,30,-0.8814812898635864,4.0,0.01584964885552725,9.133333333333333,0.8814812898635864,-0.01584964885552725,"[0.0, 80]",61.295436054468155
moead_sbx_polynomial_run02,2,3,30,30,-0.8814812898635864,4.0,0.03548016647179922,8.866666666666667,0.8814812898635864,-0.03548016647179922,"[0.0, 80]",61.46133351325989
moead_sbx_polynomial_run02,2,4,30,30,-0.883529007434845,4.0,0.015883223349253347,8.533333333333333,0.883529007434845,-0.015883223349253347,"[0.0, 80]",62.67133656144142
moead_sbx_polynomial_run02,2,5,30,30,-0.883529007434845,2.0,0.07415595217386883,6.833333333333333,0.883529007434845,-0.07415595217386883,"[0.0, 80]",59.53100696206093
moead_sbx_polynomial_run02,2,6,30,30,-0.883529007434845,2.0,0.11317595217386885,5.066666666666666,0.883529007434845,-0.11317595217386885,"[0.0, 80]",59.53100696206093
moead_sbx_polynomial_run02,2,7,30,30,-0.883529007434845,2.0,0.11767595217386884,3.8666666666666667,0.883529007434845,-0.11767595217386884,"[0.0, 80]",59.53100696206093
moead_sbx_polynomial_run02,2,8,30,30,-0.883529007434845,1.0,0.14361595217386883,3.1666666666666665,0.883529007434845,-0.14361595217386883,"[0.0, 80]",59.53100696206093
moead_sbx_polynomial_run02,2,9,30,30,-0.883529007434845,1.0,0.14361595217386883,3.1666666666666665,0.883529007434845,-0.14361595217386883,"[0.0, 80]",59.53100696206093
moead_sbx_polynomial_run02,2,10,30,30,-0.883529007434845,1.0,0.14361595217386883,3.1666666666666665,0.883529007434845,-0.14361595217386883,"[0.0, 80]",59.53100696206093
moead_sbx_polynomial_run02,2,11,30,30,-0.883529007434845,1.0,0.14361595217386883,3.1666666666666665,0.883529007434845,-0.14361595217386883,"[0.0, 80]",59.53100696206093
moead_sbx_polynomial_run02,2,12,30,30,-0.883529007434845,1.0,0.11056688043912252,2.9,0.883529007434845,-0.11056688043912252,"[0.0, 80]",60.59696614742279
moead_sbx_polynomial_run02,2,13,30,30,-0.883529007434845,1.0,0.10633540365537009,2.9,0.883529007434845,-0.10633540365537009,"[0.0, 80]",61.0412712097168
moead_sbx_polynomial_run02,2,14,30,30,-0.883529007434845,1.0,0.10602566116491954,2.9,0.883529007434845,-0.10602566116491954,"[0.0, 80]",61.10631713271141
moead_sbx_polynomial_run02,2,15,30,30,-0.883529007434845,1.0,0.03585067077795667,2.8333333333333335,0.883529007434845,-0.03585067077795667,"[0.0, 80]",62.57779532670975
moead_sbx_polynomial_run02,2,16,30,30,-0.883529007434845,1.0,0.03585067077795667,2.8333333333333335,0.883529007434845,-0.03585067077795667,"[0.0, 80]",62.57779532670975
moead_sbx_polynomial_run02,2,17,30,30,-0.883529007434845,1.0,0.03585067077795667,2.8333333333333335,0.883529007434845,-0.03585067077795667,"[0.0, 80]",62.57779532670975
moead_sbx_polynomial_run02,2,18,30,30,-0.883529007434845,1.0,0.03585067077795667,2.8333333333333335,0.883529007434845,-0.03585067077795667,"[0.0, 80]",62.57779532670975
